City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed(mph)
Sainte-Marie,5,CA,2019-05-09 04:36:25,55,46.45,-71.03,39.0,3.36
Hambantota,0,LK,2019-05-09 04:10:00,66,6.12,81.12,87.8,13.87
Colomi,75,BO,2019-05-09 04:00:00,48,-17.34,-65.87,62.6,2.98
Sinalunga,100,IT,2019-05-09 04:37:21,58,43.21,11.74,55.4,5.82
Safford,40,US,2019-05-09 04:37:01,62,32.83,-109.71,59.0,13.87
Kenora,75,CA,2019-05-09 04:32:46,56,49.76,-94.48,46.4,9.17
Thompson,40,CA,2019-05-09 04:00:00,79,55.74,-97.86,28.4,4.38
Linhares,0,BR,2019-05-09 04:38:05,84,-19.38,-40.06,66.86,3.98
Manika,0,IN,2019-05-09 04:38:06,7,23.82,84.4,109.52,15.77
Cayenne,75,GF,2019-05-09 04:00:00,83,4.94,-52.33,80.6,4.7
Ushuaia,40,AR,2019-05-09 04:00:00,43,-54.81,-68.31,50.0,11.41
Jamestown,86,AU,2019-05-09 04:33:10,70,-33.21,138.6,52.1,16.87
East London,0,ZA,2019-05-09 04:00:00,72,-33.02,27.91,59.0,13.87
Albany,1,US,2019-05-09 04:36:02,39,42.65,-73.75,48.2,5.82
Schinnen,28,NL,2019-05-09 04:37:53,87,50.94,5.89,48.2,12.75
Hobart,75,AU,2019-05-09 04:33:15,58,-42.88,147.33,59.0,14.99
Maldonado,20,UY,2019-05-09 04:00:00,93,-34.91,-54.96,55.4,5.82
Sharjah,0,AE,2019-05-09 04:00:00,51,25.36,55.39,84.2,2.24
Kushima,75,JP,2019-05-09 04:18:43,87,31.5,131.29,60.8,4.7
Atuona,13,PF,2019-05-09 04:36:34,78,-9.8,-139.03,83.42,13.22
Korablino,0,RU,2019-05-09 04:30:48,58,53.92,40.02,66.0,1.01
Kocevje,75,SI,2019-05-09 04:37:04,93,45.64,14.86,54.0,9.17
Luganville,75,VU,2019-05-09 04:00:00,79,-15.51,167.18,84.2,8.05
San Cristobal,75,EC,2019-05-09 04:15:19,93,-0.39,-78.55,57.2,2.24
Puerto Ayora,52,EC,2019-05-09 03:45:03,93,-0.74,-90.35,77.0,5.35
Barrow,91,AR,2019-05-09 04:38:11,87,-38.31,-60.23,51.74,8.52
Port Lincoln,90,AU,2019-05-09 04:38:11,64,-34.72,135.86,55.88,27.42
Mahebourg,75,MU,2019-05-09 04:29:08,78,-20.41,57.7,77.0,18.34
Ciudad Bolivar,100,VE,2019-05-09 04:38:12,69,8.12,-63.55,81.62,10.56
Bambous Virieux,75,MU,2019-05-09 04:29:08,78,-20.34,57.76,77.0,18.34
Hervey Bay,40,AU,2019-05-09 04:35:08,44,-25.3,152.85,80.01,12.75
Clyde River,20,CA,2019-05-09 04:00:00,100,70.47,-68.59,19.4,2.24
Ponta do Sol,100,BR,2019-05-09 04:38:13,97,-20.63,-46.0,61.28,5.61
Vaini,40,IN,2019-05-09 03:00:00,78,15.34,74.49,75.2,3.36
Lompoc,90,US,2019-05-09 04:36:59,82,34.64,-120.46,59.0,3.8
Cape Town,20,ZA,2019-05-09 04:36:06,87,-33.93,18.42,59.0,4.7
Chokurdakh,84,RU,2019-05-09 04:38:14,93,70.62,147.9,27.98,8.05
New Norfolk,75,AU,2019-05-09 04:37:41,58,-42.78,147.06,59.0,14.99
Yushan,20,CN,2019-05-09 04:00:00,33,31.68,118.49,77.0,4.47
Westport,2,IE,2019-05-09 04:38:12,84,53.8,-9.52,43.0,1.01
Bluff,1,AU,2019-05-09 04:38:15,35,-23.58,149.07,81.26,3.8
Bramsche,0,DE,2019-05-09 04:37:37,93,52.41,7.98,48.0,4.7
Ust-Tsilma,99,RU,2019-05-09 04:38:17,86,65.44,52.15,54.44,5.01
Noumea,40,NC,2019-05-09 04:00:00,61,-22.28,166.46,82.4,10.29
Afsin,91,TR,2019-05-09 04:38:18,49,38.25,36.91,42.2,4.25
Saint-Francois,90,FR,2019-05-09 04:31:14,71,46.42,3.91,51.8,9.17
Lebu,20,ET,2019-05-09 03:00:00,62,8.96,38.73,57.2,2.24
Uspenka,100,UA,2019-05-09 04:38:19,81,48.39,39.16,66.14,12.46
Rikitea,1,PF,2019-05-09 04:38:19,87,-23.12,-134.97,77.66,8.14
Khatanga,98,RU,2019-05-09 04:38:19,92,71.98,102.47,29.6,2.35
Mataura,100,NZ,2019-05-09 04:30:07,84,-46.19,168.86,62.01,3.09
Teya,5,MX,2019-05-09 04:31:07,58,21.05,-89.07,84.2,23.04
Faanui,67,PF,2019-05-09 04:38:20,76,-16.48,-151.75,83.96,8.37
Tiksi,100,RU,2019-05-09 04:38:20,92,71.64,128.87,30.5,9.93
Punta Arenas,0,CL,2019-05-09 04:33:10,70,-53.16,-70.91,42.8,11.41
Kahului,40,US,2019-05-09 04:32:15,61,20.89,-156.47,80.6,9.17
Carnarvon,0,ZA,2019-05-09 04:38:21,67,-30.97,22.13,49.94,4.52
Basco,90,US,2019-05-09 04:35:16,100,40.33,-91.2,64.99,13.87
Arona,40,IT,2019-05-09 04:38:05,100,45.76,8.56,50.0,2.24
Champerico,40,MX,2019-05-09 03:44:00,51,16.38,-93.6,86.0,5.26
Tilichiki,0,RU,2019-05-09 04:38:22,39,60.47,166.1,49.04,15.41
Busselton,0,AU,2019-05-09 04:34:12,38,-33.64,115.35,68.0,4.32
Hermanus,0,ZA,2019-05-09 04:30:48,98,-34.42,19.24,54.0,5.79
Anadyr,40,RU,2019-05-09 04:33:10,84,64.73,177.51,32.0,13.42
